video_id,peak_rate_views_per_sec,time_to_peak_sec,drop_time_sec,peak_duration_sec
-F8U28g_0W8,2.6816115067727972,917.0,2263.0,1346.0
4bsytNOQQJk,1.3582518681726135,1040.0,4200.0,3160.0
6EyYh-9fuNM,3.6009237066696747,1101.0,3611.0,2510.0
EWLSiWqlh4Y,4.326255448997385,4680.0,4895.0,215.0
F4Mr7OnHq1w,4.969295513533555,1194.0,4200.0,3006.0
G3Bkz_ytrzY,1.2846236559139785,1497.0,2811.0,1314.0
Mx6Rvm-XhWM,1.2663983360093418,792.0,2167.0,1375.0
RVlB7s9uXD0,2.7720430107526886,31170.0,31508.0,338.0
UCpAMjfSMtM,4.8482258064516115,46366.0,46704.0,338.0
Vd6VqadIQlE,6.345322580645162,18591.0,19205.0,614.0
ZeCRJDWJg5U,1.6113440860215054,3165.0,7408.0,4243.0
ZtlHmXUobVU,6.691908723787281,1468.0,5200.0,3732.0
b3IuZjYub4I,2.087204301075269,38071.0,38409.0,338.0
cxaRT7IFA64,1.0508083055246569,914.0,3236.0,2322.0
gIPHAF5Uu_8,1.859569892473118,1128.0,2930.0,1802.0
jdSgTZZ0CQI,1.094247311827957,1161.0,2815.0,1654.0
nM0Og0nVMeU,3.895436606404348,1135.0,3465.0,2330.0
p4z6jOQmyQo,3.19994623655914,1249.0,2135.0,886.0
sLqrRTf1-XI,0.8632725097811509,913.0,1712.0,799.0
u-GJksRVVfk,0.9370926028921025,886.0,1894.0,1008.0
vka7zBhOFxM,5.626720430107527,1618.0,3513.0,1895.0
